brand,name,old_price,old_price_cents,new_price,new_price_cents,reviews_rating_number,reviews_amount
,Tênis Feminino Casual One Star Conection Promoção,69,90,59,41,4.2,(2866)
MORMAII,Tênis Mormaii Urban Free Masculino Adulto Casual,169,90,159,70,4.6,(644)
,Tênis Casual Feminino Confortável Estiloso - Byara,159,90,31,98,4.8,(95)
,Tênis Feminino Casual Branco Clássico Original Sofiolí Leve,74,99,68,99,4.8,(164)
VIZZANO,Tênis Vizzano Casual Feminino Confortável ,139,90,128,70,4.7,(146)
REDLEY,Tênis Redley Ir10 Monocromo All Black - Wab-01,229,90,200,01,4.7,(447)
,Tênis Olympus Masculino Feminino Academia Caminhada Levinho,78,99,7,74,4.6,(325)
OLYMPIKUS,Tênis Eros Olympikus Casual Unissex Branco Básico,216,90,195,21,4.8,(262)
NID FEET,Tênis Infantil De Amarrar Menino Escolinha Casual Resistente,69,99,66,49,4.7,(292)
MOLECA,Tênis Feminino Moleca Casual Napa Conforto Trabalho Promoção,89,75,71,80,4.7,(35)
RAMARIM,Tênis Ramarim Tenil Branco Crystal Feminino 2483231-3,279,80,223,84,4.8,(51)
POLO JOY,Sapatênis /iate Polo Masculino Sapato Casual,75,69,7,42,4.7,(1754)
CONVERSE,Tênis All Star Converse Clássico Original + Nota Fiscal,279,90,31,10,4.7,(118)
RAMARIM,Tênis Ramarim Feminino Blogueira Plataforma Leve 23-97123,179,90,165,50,4.7,(350)
VIA MARTE,Tênis Feminino Via Marte Branco Confortável Leve Original,199,90,175,91,4.9,(258)
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,78,90,71,01,4.2,(6082)
KOLOSH,Tênis Sapatilha Slip On Feminino Calce Fácil Conforto,150,90,14,79,4.8,(422)
,Tênis Feminino Casual Chunky Dad Sneaker Flatform Blogueira,112,84,11,06,4.6,(145)
,Tênis Feminino Caminhada Academia Espumado Macio Confortável,59,90,50,91,4.7,(11)
OLYMPIKUS,Olympikus Aquarios Masculino Adultos,237,49,164,90,4.8,(1260)
VIZZANO,Tênis Feminino Casual Vizzano,141,72,106,29,4.7,(332)
,Tenis Sapatenis Masculino Sapato Polo Way Casual Envio Ja ,78,90,7,73,4.6,(1190)
,Sapatilha Aquática Antiderrapante Tênis Praia Híbrido Cb357,78,90,59,17,4.7,(3801)
OLYMPIKUS,Olympikus Aquarios Masculino Adultos,237,49,164,90,4.8,(1260)
VIZZANO,Tênis Feminino Vizzano Tênis Casual Oferta Original Vz1214,115,31,84,99,4.7,(507)
ADIDAS,adidas Sportswear Grand Court Base 2.0 Masculino Adultos,349,99,217,48,4.9,(228)
SAYMON,Tênis Masculino Academia Fast Flykint Original Saymon Olimp,104,31,83,44,4.4,(2310)
,Sapatênis Tenis Sapato Olimp Masculino Original Tecido ,59,90,37,13,4.0,(939)
VILI,Sapatenis  Masculino Tênis Casual Polo Vili Confortavel,103,09,76,29,4.5,(2229)
PUMA,Puma Carina BDP Feminino Adultos,399,90,39,,4.9,(114)
PEGADA,Sapatênis Pegada Masculino Casual Calce Fácil Couro Nobuck,289,90,260,91,5.0,(4)
,Sapatilha Neoprene Aquatica Tenis Hibrido Versátil Top Cb313,75,90,57,68,4.6,(3358)
ACTVITTA,Tênis Feminino Esportivo Caminhada Academia Crossfit Actvita,139,63,13,,4.7,(83)
,Tênis Masculino Rdw Academia Leve Confortável Olimp Original,109,90,79,12,4.5,(390)
,Tenis Olimp Masculino Academia Mega Fast Corrida Confortavel,115,31,11,30,4.3,(935)
VIZZANO,Tenis Vizzano Feminino Casual Plataforma Branco Original,159,95,119,95,4.7,(2643)
BEIRA RIO,Tenis Casual Conforto Feminino Beira Rio,149,90,68,95,4.7,(74)
PEGADA,Sapatênis Masculino Pegada Pgd Em Couro 100% Original,259,90,25,41,4.8,(81)
ADIDAS,adidas Break Start Masculino Adultos,349,99,329,99,4.8,(656)
,Kit Tênis Masculino Esporte Fino Casual + Carteira Relogio,139,90,118,91,4.3,(134)
,Tênis Feminino Ortopédico Caminhada Academia + Relógio,119,90,77,93,4.6,(7313)
ADIDAS,Tênis Masculino Casual Vl Court 3.0 adidas,399,99,241,99,4.9,(97)
,Tênis Feminino Olympikus Acqua Original Leve E Confortável,250,51,199,,4.7,(215)
PICCADILLY,Tênis Piccadilly Super Leve Marshmallow Nuvem Conforto Estil,119,99,39,59,4.2,(106)
OLYMPIKUS,Olympikus Treino Venus 2 Feminino Adultos,119,67,11,,4.7,(654)
LONDON STYLE,Sapato Tenis Camurça Sola Malásia Cacareco Retrô Original,185,90,30,98,4.8,(339)
SBELTA,Tênis Feminino Casual Sbelta Sapatênis Lançamento F. 2133,78,90,69,43,4.4,(619)
BF SHOES,Tênis Academia Masculino Esportivo Bf Shoes + Smartwatch,153,69,99,89,5.0,(1)
MOLECA,Tênis Feminino Estiloso Casual Urbano Confortável Original,109,88,59,55,4.6,(183)
T-SHOES,Tênis Masculino Handebol Vôlei Futsal Casual Gel Original 04,179,90,167,35,4.3,(295)
FILA,Tenis Fila Efecto Feminino Esportivo Mesh Eva Original,299,95,221,96,4.7,(71)
OLYMPIKUS,Tênis Feminino Olimp Confortável Corrida E Caminhada Macio,299,99,133,34,4.6,(88)
BEIRA RIO,Tênis Beira Rio  Feminino Casual Flatform Original Promoção ,109,90,10,77,4.7,(2043)
MODARE,Tênis Modare Ultraconforto Preto Slip On M73,129,90,97,42,4.7,(2712)
VIZZANO,Tênis Calce Fácil Vizzano Feminino Casual 1214.200,119,20,71,52,4.8,(29)
LORENZZO LOPEZ,Pacote Fitness Tênis Óculos Relógio Digital Para Treino,98,53,32,84,5.0,(2)
MIZUNO,Tênis Mizuno Wave Prophecy Masculino E Feminino,849,90,84,99,,
OLLIE,Tenis Ollie Volt2 Masculino Street Skate Conforto Original,249,99,192,49,,
POLO JOY,Tenis Iate Sapatenis Slip Polo Joy Original Casual Masculino,75,69,7,42,4.8,(837)
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,77,10,25,70,,
BOAONDA,Sapato Tenis Boaonda Maxxi Profissional Hospital Enfermagem ,129,90,114,31,4.6,(151)
MODARE ULTRACONFORTO,Tênis Feminino Ultra Conforto Modare Ortopédico Original,159,99,95,99,4.8,(1171)
MODARE,Sapato Feminino Tênis Ortopédico Esporão E Facite Original,129,99,77,99,4.7,(9)
ZEUS,Tênis Ortopédico Super Leve Zs Indicado Esporão Diabético,93,77,9,19,4.3,(100)
,Sapatênis Tênis Casual Masculino Cadarço E Zíper,139,90,104,92,4.7,(1241)
ITZY,Tênis Feminino Casual Macio Confortável Itzy,78,90,52,86,4.5,(425)
STAR FOX,Sapatenis Masculino Ziper Cadarço Casual Social Confortável,69,90,55,92,4.5,(9665)
OLYMPIKUS,Olympikus Casual Citrus 2 Feminino Adultos,229,80,142,47,4.7,(810)
,Tênis Feminino Polo Ultrabone De Para Academia Treino Leve,109,90,65,94,4.7,(3891)
NID FEET,Tênis Meia Unissex Sem Cadarço Calce Fácil Macio Promoção,77,99,70,19,4.7,(479)
MOLECA,Tênis Feminino Moleca Casual Flat Lona Destroyd Casual,119,99,71,99,4.8,(105)
VILI,Tênis Feminino Olimp Para Caminhada Academia Promoção,78,10,74,26,4.7,(15216)
OLYMPIKUS,Olympikus Casual Easy 2 Feminino Adultos 43605213_2-030,199,99,128,99,4.7,(2618)
FASTPRO,Tênis Esportivo Fast Pro,115,31,11,30,3.9,(166)
OLYMPIKUS,Olympikus Casual Index 3 Sem gênero Adultos 43611218-1-030,189,99,136,99,4.8,(2744)
MODARE,Tênis Slip On Ultraconforto Modare Feminino Salto Anabela,123,86,117,66,4.8,(18)
,Tênis Feminino Esportivo Caminhada Academia Corrida - It,78,90,47,34,4.6,(1134)
ADIDAS,adidas Grand Court Base 2.0 Feminino Adultos,299,99,259,99,4.9,(285)
MODARE,Tenis Feminino Modare Ultraconforto Gel Tech Casual Macio,78,90,7,73,4.8,(478)
NIKE,Tênis Nike Revolution 7 Feminino,399,99,319,99,4.7,(781)
VIZZANO,Tênis Casual Vizzano Feminino Conforto Lançamento Original,149,90,99,91,4.8,(360)
UNDER ARMOUR,Tênis Charged Slight 3 Under Armour Unissex Original,449,99,359,99,4.9,(309)
,Tênis Branco Academia Caminhada Esportivo Confortável Barato,78,75,55,12,4.5,(234)
,Tenis Sapatilha Bike Pesca Corrida Academia Neoprene Confort,53,67,17,,4.6,(1305)
WAYKE,Tênis Esportivo Feminino Academia Novo Leve Treino Promoção,99,90,59,94,4.4,(156)
